response_metric,guild,bmp,k,n_studies,meets_primary_threshold
species_richness,,prescribed_fire,23,6,TRUE
species_richness,,stream_exclusion_and_buffers,12,4,TRUE
species_richness,,edge_and_shrub_habitat,18,7,TRUE
species_richness,,provide_overwintering_habitat,26,7,TRUE
species_richness,,plant_nwsg,13,8,TRUE
species_richness,,rotational_grazing,11,5,TRUE
species_richness,,eliminate_pesticides,14,7,TRUE
abundance,obligate_grassland,prescribed_fire,169,18,TRUE
abundance,facultative_grassland,prescribed_fire,97,11,TRUE
abundance,obligate_grassland,manage_in_patches,23,5,TRUE
abundance,obligate_grassland,plant_nwsg,69,17,TRUE
abundance,facultative_grassland,plant_nwsg,64,10,TRUE
abundance,obligate_grassland,stream_exclusion_and_buffers,12,3,TRUE
abundance,obligate_grassland,edge_and_shrub_habitat,33,9,TRUE
abundance,facultative_grassland,provide_overwintering_habitat,48,5,TRUE
abundance,obligate_grassland,provide_overwintering_habitat,18,3,TRUE
abundance,obligate_grassland,rotational_grazing,25,5,TRUE
abundance,obligate_grassland,reduce_grazing_intensity,14,3,TRUE
abundance,facultative_grassland,edge_and_shrub_habitat,66,10,TRUE
abundance,facultative_grassland,eliminate_pesticides,42,4,TRUE
abundance,obligate_grassland,eliminate_pesticides,25,6,TRUE
abundance,facultative_grassland,remove_non_native_shrubs,60,4,TRUE
abundance,facultative_grassland,reduce_grazing_intensity,12,3,TRUE
abundance,facultative_grassland,rotational_grazing,10,3,TRUE
nest_success,obligate_grassland,delay_hay,7,4,TRUE
nest_success,obligate_grassland,plant_nwsg,16,4,TRUE
nest_success,facultative_grassland,edge_and_shrub_habitat,8,3,TRUE
nest_success,obligate_grassland,edge_and_shrub_habitat,6,5,TRUE
abundance,all_grassland,prescribed_fire,267,19,TRUE
abundance,all_grassland,manage_in_patches,28,5,TRUE
abundance,all_grassland,plant_nwsg,133,19,TRUE
abundance,all_grassland,stream_exclusion_and_buffers,52,3,TRUE
abundance,all_grassland,edge_and_shrub_habitat,103,16,TRUE
abundance,all_grassland,provide_overwintering_habitat,73,7,TRUE
abundance,all_grassland,rotational_grazing,35,5,TRUE
abundance,all_grassland,reduce_grazing_intensity,26,5,TRUE
abundance,all_grassland,install_nest_boxes,10,4,TRUE
abundance,all_grassland,eliminate_pesticides,72,9,TRUE
abundance,all_grassland,remove_non_native_shrubs,67,4,TRUE
